algorithm,message_bytes,ber,transmissions,altered_frames,correct_messages,correct_rate,detection_rate_altered,recovery_rate_altered,accepted_incorrect,accepted_incorrect_rate,average_altered_bits,original_bits,encoded_bits,overhead_bits,overhead_percent
CRC32_IEEE,10,0.0,100,0,100,100.0,0.0,0.0,0,0.0,0.0,80,112,32,40.0
CRC32_IEEE,10,0.001,100,9,91,91.0,100.0,0.0,0,0.0,0.1,80,112,32,40.0
CRC32_IEEE,10,0.01,100,75,25,25.0,100.0,0.0,0,0.0,1.16,80,112,32,40.0
CRC32_IEEE,10,0.05,100,99,1,1.0,100.0,0.0,0,0.0,5.64,80,112,32,40.0
CRC32_IEEE,100,0.0,100,0,100,100.0,0.0,0.0,0,0.0,0.0,800,832,32,4.0
CRC32_IEEE,100,0.001,100,61,39,39.0,100.0,0.0,0,0.0,0.88,800,832,32,4.0
CRC32_IEEE,100,0.01,100,100,0,0.0,100.0,0.0,0,0.0,8.25,800,832,32,4.0
CRC32_IEEE,100,0.05,100,100,0,0.0,100.0,0.0,0,0.0,41.83,800,832,32,4.0
CRC32_IEEE,1000,0.0,100,0,100,100.0,0.0,0.0,0,0.0,0.0,8000,8032,32,0.4
CRC32_IEEE,1000,0.001,100,100,0,0.0,100.0,0.0,0,0.0,8.22,8000,8032,32,0.4
CRC32_IEEE,1000,0.01,100,100,0,0.0,100.0,0.0,0,0.0,78.97,8000,8032,32,0.4
CRC32_IEEE,1000,0.05,100,100,0,0.0,100.0,0.0,0,0.0,402.9,8000,8032,32,0.4
HAMMING_12_8,10,0.0,100,0,100,100.0,0.0,0.0,0,0.0,0.0,80,120,40,50.0
HAMMING_12_8,10,0.001,100,16,100,100.0,100.0,100.0,0,0.0,0.17,80,120,40,50.0
HAMMING_12_8,10,0.01,100,66,94,94.0,100.0,90.9090909090909,3,3.0,1.25,80,120,40,50.0
HAMMING_12_8,10,0.05,100,100,29,29.0,100.0,29.0,27,27.0,5.8,80,120,40,50.0
HAMMING_12_8,100,0.0,100,0,100,100.0,0.0,0.0,0,0.0,0.0,800,1200,400,50.0
HAMMING_12_8,100,0.001,100,69,100,100.0,100.0,100.0,0,0.0,1.24,800,1200,400,50.0
HAMMING_12_8,100,0.01,100,100,61,61.0,100.0,61.0,21,21.0,11.98,800,1200,400,50.0
HAMMING_12_8,100,0.05,100,100,0,0.0,100.0,0.0,0,0.0,59.57,800,1200,400,50.0
HAMMING_12_8,1000,0.0,100,0,100,100.0,0.0,0.0,0,0.0,0.0,8000,12000,4000,50.0
HAMMING_12_8,1000,0.001,100,100,96,96.0,100.0,96.0,0,0.0,11.98,8000,12000,4000,50.0
HAMMING_12_8,1000,0.01,100,100,0,0.0,100.0,0.0,5,5.0,121.67,8000,12000,4000,50.0
HAMMING_12_8,1000,0.05,100,100,0,0.0,100.0,0.0,0,0.0,603.4,8000,12000,4000,50.0
