algorithm,message_bytes,ber,repetition,original_bits,encoded_bits,overhead_bits,altered_bits,connection_success,valid,error_detected,error_corrected,corrected_bits,message_correct,error
HAMMING_12_8,10,0.000000,1,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,2,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,3,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,4,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,5,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,6,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,7,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,8,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,9,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,10,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,11,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,12,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,13,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,14,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,15,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,16,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,17,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,18,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,19,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,20,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,1,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,2,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,3,80,120,40,1,true,true,true,true,1,true,
HAMMING_12_8,10,0.001000,4,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,5,80,120,40,1,true,true,true,true,1,true,
HAMMING_12_8,10,0.001000,6,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,7,80,120,40,1,true,true,true,true,1,true,
HAMMING_12_8,10,0.001000,8,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,9,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,10,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,11,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,12,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,13,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,14,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,15,80,120,40,1,true,true,true,true,1,true,
HAMMING_12_8,10,0.001000,16,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,17,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,18,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,19,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.001000,20,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.010000,1,80,120,40,2,true,true,true,true,2,true,
HAMMING_12_8,10,0.010000,2,80,120,40,3,true,true,true,true,3,true,
