algorithm,message_bytes,ber,repetition,original_bits,encoded_bits,overhead_bits,altered_bits,connection_success,valid,error_detected,error_corrected,corrected_bits,message_correct,error
HAMMING_12_8,10,0.000000,1,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,2,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,3,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,4,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,5,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,6,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,7,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,8,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,9,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,10,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,11,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,12,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,13,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,14,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,15,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,16,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,17,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,18,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,19,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,20,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,21,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,22,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,23,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,24,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,25,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,26,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,27,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,28,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,29,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,30,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,31,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,32,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,33,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,34,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,35,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,36,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,37,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,38,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,39,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,40,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,41,80,120,40,0,true,true,false,false,0,true,
HAMMING_12_8,10,0.000000,42,80,120,40,0,true,true,false,false,0,true,
